Original Language,Original Title,Overview,Popularity,Poster Path,Release Date,Title,Video,Vote Average,Vote Count
en,The Mount 2,"A year after the incident at the Mount, the police are still investigating the murders of Philomena and Caroline. The Mount has been cordoned off by the police. However, on Halloween night, a group of teenagers break in. They plan on holding a wedding between friends, conducted by a rather odd character, however, little did they know some unexpected guests would show up to crash the party.",270.78,/cJpHTbHobMYzEyHTgSaCcjy4ELB.jpg,2023-05-12,The Mount 2,FALSE,4.6,9
en,The Mother,"A deadly female assassin comes out of hiding to protect the daughter that she gave up years before, while on the run from dangerous men.",313.012,/vnRthEZz16Q9VWcP5homkHxyHoy.jpg,2023-05-04,The Mother,FALSE,6.8,837
en,Black Panther: Wakanda Forever,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",318.151,/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,2022-11-09,Black Panther: Wakanda Forever,FALSE,7.2,5060
ko,늑대사냥,"While under heavily armed guard, the dangerous convicts aboard a cargo ship unite in a coordinated escape attempt that soon escalates into a bloody, all-out riot. But as the fugitives continue their brutal campaign of terror, they soon discover that not even the most vicious among them is safe from the horror they unknowingly unleashed from the darkness below deck.",380.183,/dniWicB6fa7NvpGbguxWlNPMc5f.jpg,2022-09-21,Project Wolf Hunting,FALSE,6.3,173
en,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",299.118,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,2022-10-19,Black Adam,FALSE,7.1,5111
en,Misanthrope,Baltimore. New Year's Eve. A talented but troubled police officer is recruited by the FBI's chief investigator to help profile and track down a mass murderer.,309.159,/mFp3l4lZg1NSEsyxKrdi0rNK8r1.jpg,2023-04-06,To Catch a Killer,FALSE,6.9,292
en,Nefarious,"On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own.",279.725,/xwjWUAajQJPj5aik1tounPguZbz.jpg,2023-04-14,Nefarious,FALSE,6.8,41
ja,劇場版 ソードアート・オンライン -プログレッシブ- 冥き夕闇のスケルツォ,"Over a month has passed since 10,000 users were trapped inside the ""Sword Art Online"" world. Asuna, who cleared the first floor of the floating iron castle of Aincrad, joined up with Kirito and continued her journey to reach the top floor. With the support of female Information Broker Argo, clearing the floors seemed to be progressing smoothly, but conflict erupts between two major guilds who should be working together – the top player groups ALS (the Aincrad Liberation Squad) and DKB (the Dragon Knights Brigade). And meanwhile, behind the scenes exists a mysterious figure pulling the strings…",319.598,/2lEyzOq6ILNgBpLLpTRckQhbNNt.jpg,2022-10-22,Sword Art Online the Movie -Progressive- Scherzo of Deep Night,FALSE,7.6,87
de,Blood & Gold,"At the end of World War II, a German soldier is looking for his daughter while an SS troop is looking for a Jewish treasure.",287.109,/oLRQP5cEjiT1DxeIHUYEV96Ijum.jpg,2023-04-21,Blood & Gold,FALSE,6.6,209
en,Crater,"After the death of his father, a boy growing up on a lunar mining colony takes a trip to explore a legendary crater, along with his four best friends, prior to being permanently relocated to another planet.",296.1,/n8ZpMwYT02XjpQHpSxn1eJw5Zpz.jpg,2023-05-12,Crater,FALSE,6.7,172
